capture_id,subject_id,session_id,calibration_id,primary_posture,head_state,shoulder_state,pelvis_state,repetition,subset,quality,notes,chair_id,lateral_side
CAP000001,S001,SE01,CAL_001,upright,,,,1,pilot,pending,,CHR_001,left
CAP000002,S001,SE01,CAL_001,upright,,,,1,pilot,pending,,CHR_001,left
CAP000003,S001,SE01,CAL_001,upright,,,,1,pilot,pending,,CHR_001,left
CAP000004,S001,SE01,CAL_001,upright,,,,1,pilot,pending,,CHR_001,left
CAP000005,S001,SE01,CAL_001,upright,,,,1,pilot,pending,,CHR_001,left
CAP000006,S001,SE01,CAL_001,leaning_forward,,,,1,pilot,pending,,CHR_001,left
CAP000007,S001,SE01,CAL_001,leaning_forward,,,,1,pilot,pending,,CHR_001,left
CAP000008,S001,SE01,CAL_001,leaning_forward,,,,1,pilot,pending,,CHR_001,left
CAP000009,S001,SE01,CAL_001,leaning_forward,,,,1,pilot,pending,,CHR_001,left
CAP000010,S001,SE01,CAL_001,leaning_forward,,,,1,pilot,pending,,CHR_001,left
CAP000011,S001,SE01,CAL_001,upright,,,,1,pilot,pending,,CHR_001,left
CAP000012,S001,SE01,CAL_001,upright,,,,2,pilot,pending,,CHR_001,left
CAP000013,S001,SE01,CAL_001,upright,,,,3,pilot,pending,,CHR_001,left
CAP000014,S001,SE01,CAL_001,upright,,,,4,pilot,pending,,CHR_001,left
CAP000015,S001,SE01,CAL_001,upright,,,,5,pilot,pending,,CHR_001,left
CAP000016,S001,SE01,CAL_001,leaning_forward,,,,1,pilot,pending,,CHR_001,left
CAP000017,S001,SE01,CAL_001,leaning_forward,,,,2,pilot,pending,,CHR_001,left
CAP000018,S001,SE01,CAL_001,leaning_forward,,,,3,pilot,pending,,CHR_001,left
CAP000019,S001,SE01,CAL_001,leaning_forward,,,,4,pilot,pending,,CHR_001,left
CAP000020,S001,SE01,CAL_001,leaning_forward,,,,5,pilot,pending,,CHR_001,left
CAP000021,S001,SE01,CAL_001,leaning_backward,,,,1,pilot,pending,,CHR_001,left
CAP000022,S001,SE01,CAL_001,leaning_backward,,,,2,pilot,pending,,CHR_001,left
CAP000023,S001,SE01,CAL_001,leaning_backward,,,,3,pilot,pending,,CHR_001,left
CAP000024,S001,SE01,CAL_001,leaning_backward,,,,4,pilot,pending,,CHR_001,left
CAP000025,S001,SE01,CAL_001,leaning_backward,,,,5,pilot,pending,,CHR_001,left
CAP000026,S001,SE01,CAL_001,leaning_left,,,,1,pilot,pending,,CHR_001,left
CAP000027,S001,SE01,CAL_001,leaning_left,,,,2,pilot,pending,,CHR_001,left
CAP000028,S001,SE01,CAL_001,leaning_left,,,,3,pilot,pending,,CHR_001,left
CAP000029,S001,SE01,CAL_001,leaning_left,,,,4,pilot,pending,,CHR_001,left
CAP000030,S001,SE01,CAL_001,leaning_left,,,,5,pilot,pending,,CHR_001,left
CAP000031,S001,SE01,CAL_001,leaning_right,,,,1,pilot,pending,,CHR_001,left
CAP000032,S001,SE01,CAL_001,leaning_right,,,,2,pilot,pending,,CHR_001,left
CAP000033,S001,SE01,CAL_001,leaning_right,,,,3,pilot,pending,,CHR_001,left
CAP000034,S001,SE01,CAL_001,leaning_right,,,,4,pilot,pending,,CHR_001,left
CAP000035,S001,SE01,CAL_001,leaning_right,,,,5,pilot,pending,,CHR_001,left
CAP000036,S001,SE01,CAL_001,slouching,,,,1,pilot,pending,,CHR_001,left
CAP000037,S001,SE01,CAL_001,slouching,,,,2,pilot,pending,,CHR_001,left
CAP000038,S001,SE01,CAL_001,slouching,,,,3,pilot,pending,,CHR_001,left
CAP000039,S001,SE01,CAL_001,slouching,,,,4,pilot,pending,,CHR_001,left
CAP000040,S001,SE01,CAL_001,slouching,,,,5,pilot,pending,,CHR_001,left
CAP000041,S001,SE01,CAL_001,forward_head,,,,1,pilot,pending,,CHR_001,left
CAP000042,S001,SE01,CAL_001,forward_head,,,,2,pilot,pending,,CHR_001,left
CAP000043,S001,SE01,CAL_001,forward_head,,,,3,pilot,pending,,CHR_001,left
CAP000044,S001,SE01,CAL_001,forward_head,,,,4,pilot,pending,,CHR_001,left
CAP000045,S001,SE01,CAL_001,forward_head,,,,5,pilot,pending,,CHR_001,left
CAP000046,S001,SE01,CAL_001,reject,,,,1,pilot,pending,,CHR_001,left
CAP000047,S001,SE01,CAL_001,reject,,,,2,pilot,pending,,CHR_001,left
CAP000048,S002,SE01,CAL_001,upright,,,,1,pilot,pending,,CHR_001,left
CAP000049,S002,SE01,CAL_001,upright,,,,2,pilot,pending,,CHR_001,left
CAP000050,S002,SE01,CAL_001,upright,,,,3,pilot,pending,,CHR_001,left
CAP000051,S002,SE01,CAL_001,upright,,,,4,pilot,pending,,CHR_001,left
CAP000052,S002,SE01,CAL_001,upright,,,,5,pilot,pending,,CHR_001,left
CAP000053,S002,SE01,CAL_001,leaning_forward,,,,1,pilot,pending,,CHR_001,left
CAP000054,S002,SE01,CAL_001,leaning_forward,,,,2,pilot,pending,,CHR_001,left
CAP000055,S002,SE01,CAL_001,leaning_forward,,,,3,pilot,pending,,CHR_001,left
