capture_id,subject_id,session_id,label,class_id,calibration_id,lateral_side,subset,qc_3d_status,core_reproj_error,status_3d,nose_x,nose_y,nose_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,shoulder_roll_deg,hip_roll_deg,torso_lateral_lean_deg,torso_sagittal_lean_deg,torso_3d_inclination_deg,head_torso_angle_3d_deg,head_depth_offset_norm,head_lateral_offset_norm,shoulder_depth_asymmetry_norm,hip_depth_asymmetry_norm
CAP000001,S001,SE01,upright,0,CAL_001,left,pilot,INCLUDE_3D_FULL,35.01,USABLE,,,,0.6156669552665806,-0.7366999668699035,0.2796915426083912,0.3008575950599459,-0.8851310134532561,0.0403263281993503,0.0922803319739691,0.0435152776559423,0.070872284593956,-0.0922803319739691,-0.0435152776559423,-0.070872284593956,-154.75635572406702,-154.75353130931703,29.471537318103472,11.162148023877874,30.903689423504662,,,,-0.2393652144090408,-0.1417445691879121
CAP000002,S001,SE01,upright,0,CAL_001,left,pilot,INCLUDE_3D_FULL,36.45,USABLE,,,,0.6131730065343594,-0.7407021697133871,0.2745526540383382,0.3020073669130176,-0.8921796534454792,0.0434684736173602,0.0923863899145246,0.0436403847757998,0.0700371001262219,-0.0923863899145246,-0.0436403847757998,-0.0700371001262217,-154.04287578132582,-154.71544328999957,29.269298309780957,11.020997108676353,30.682542467048695,,,,-0.2310841804209779,-0.1400742002524437
CAP000003,S001,SE01,upright,0,CAL_001,left,pilot,INCLUDE_3D_FULL,35.6,USABLE,,,,0.6122733445873274,-0.7379089819703318,0.2839219713853724,0.29643843283659,-0.8858676594570706,0.0444116393939166,0.0931866284492614,0.0428532232430798,0.0712528672703706,-0.0931866284492614,-0.0428532232430798,-0.0712528672703708,-154.898394248042,-155.30397732973398,29.232622368525018,11.431286159290194,30.754261580818767,,,,-0.2395103319914558,-0.1425057345407415
CAP000004,S001,SE01,upright,0,CAL_001,left,pilot,INCLUDE_3D_FULL,36.5,USABLE,,,,0.6125401670499911,-0.7345917761817423,0.2918380820189887,0.2980750795710042,-0.8820176632429371,0.0547084170538421,0.091878550861964,0.0422571720513277,0.0705492419119508,-0.091878550861964,-0.0422571720513278,-0.0705492419119508,-154.88212126100316,-155.3011528389231,29.392000166655777,12.099168637891026,31.07729881064004,,,,-0.2371296649651465,-0.1410984838239017
CAP000005,S001,SE01,upright,0,CAL_001,left,pilot,INCLUDE_3D_FULL,35.73,USABLE,,,,0.6111638645843849,-0.7389612970531064,0.2835752670524532,0.2936748160683927,-0.88206160163163,0.0407656616911208,0.093860495216959,0.041965919533349,0.072349467886215,-0.093860495216959,-0.0419659195333489,-0.0723494678862152,-155.73771184531614,-155.910127607233,29.16981552255209,11.314566357356824,30.66653492114113,,,,-0.2428096053613323,-0.1446989357724302
CAP000006,S001,SE01,leaning_forward,1,CAL_001,left,pilot,INCLUDE_3D_FULL,33.4,USABLE,0.5649045118327465,-0.8190930247583663,-0.0998474301281529,0.5106146170159844,-0.5177902252597562,0.1626460977253885,0.2575479241732688,-0.6044066835659101,-0.0429334519820461,0.067625710204555,0.034874615192539,0.0584136017722362,-0.067625710204555,-0.034874615192539,-0.0584136017722364,-161.1056007998913,-152.71981768207735,34.39229232159924,6.089115876703246,34.713414811191605,31.91755432281035,-0.1597037529998241,0.1808232412381198,-0.2055795497074347,-0.1168272035444726
CAP000007,S001,SE01,leaning_forward,1,CAL_001,left,pilot,INCLUDE_3D_FULL,33.39,USABLE,0.5679020479686467,-0.8171831242100784,-0.0984835286698856,0.5114170353486411,-0.5140476691565042,0.1587227851675159,0.2624644201936338,-0.6038473985421043,-0.0414165508469703,0.0666410939512996,0.0349796176089802,0.0573120913838748,-0.0666410939512996,-0.0349796176089802,-0.0573120913838749,-160.165112616364,-152.30521619365183,34.69356322767713,5.990405021193413,34.99873254470374,31.421018168570807,-0.1571366458301584,0.1809613201975092,-0.2001393360144862,-0.1146241827677497
CAP000008,S001,SE01,leaning_forward,1,CAL_001,left,pilot,INCLUDE_3D_FULL,34.93,USABLE,0.5725138845436939,-0.8145202475096998,-0.0937262951440371,0.5152211246511976,-0.5185429564996695,0.1567470424559145,0.2658616337757524,-0.6114486226376088,-0.045389890006888,0.0666078004660322,0.0362641894968473,0.0566684203817107,-0.0666078004660322,-0.0362641894968473,-0.0566684203817107,-159.56575244499413,-151.434201307754,34.653346035614845,5.628148419371951,34.92344992166184,30.48357044332423,-0.1494048713685504,0.1819725053302189,-0.2021369324628026,-0.1133368407634214
CAP000009,S001,SE01,leaning_forward,1,CAL_001,left,pilot,INCLUDE_3D_FULL,35.3,USABLE,0.5737863479969059,-0.8148057839526273,-0.0828297126019297,0.5163723502681369,-0.5180338979037038,0.1650947323100652,0.2667198528659432,-0.613321555671731,-0.0362881325901569,0.0663666536327458,0.0364801000290699,0.0555982175956144,-0.0663666536327458,-0.03648010002907,-0.0555982175956144,-159.10908609154308,-151.20349824389723,34.68988511126116,6.495246874751508,35.04860785083041,30.883155776270662,-0.1472330124618838,0.1822402464298658,-0.2013828649002221,-0.1111964351912289
CAP000010,S001,SE01,leaning_forward,1,CAL_001,left,pilot,INCLUDE_3D_FULL,35.41,USABLE,0.5742850205968725,-0.8144710415164639,-0.0826658191100549,0.5157364182860044,-0.5159273483709637,0.1679268057550672,0.2671967064393715,-0.6128991446770164,-0.0337725320168688,0.0664029048422287,0.0365874089926672,0.0556294428287879,-0.0664029048422287,-0.0365874089926672,-0.0556294428287881,-158.6859511775925,-151.14562731457244,34.744459546652514,6.777471719590172,35.133654934390805,31.40787498630192,-0.1497429559791541,0.1828184582341845,-0.201699337771936,-0.1112588856575761
CAP000011,S001,SE01,upright,0,CAL_001,left,pilot,INCLUDE_3D_FULL,39.65,USABLE,0.5111865994358988,-0.8594272557668857,0.0085470814996517,0.4448992536879324,-0.5346101360869707,0.1964233771784364,0.2221339264404859,-0.6117404920817372,0.0299088548101421,0.0621383942195378,0.0272880333053313,0.0482569856220324,-0.0621383942195378,-0.0272880333053313,-0.0482569856220325,-160.9020795896947,-156.2913532756219,30.194070283076083,11.16867185510502,31.56903687618194,26.98355709239733,-0.1046190344946376,0.1776700093716896,-0.1665145223682943,-0.0965139712440649
